"","YearRemodAdd","X2ndFlrSF","X1stFlrSF","GrLivArea","TotalBsmtSF","TotRmsAbvGrd","SalePrice","GarageArea","YrSold","MoSold","DateSold","TotalSF","index_TotalSF","index_GarageArea","index_GrLivArea","index_YearRemodAdd","index_Room"
"50",1966,0,955,955,955,6,127000,386,2007,1,"01//2007",1910,2,3,1,3,3
"51",1997,676,794,1470,794,6,177000,388,2007,7,"07//2007",2264,2,3,2,7,3
"52",1950,0,816,1176,816,6,114500,528,2006,9,"09//2006",1632,1,3,2,1,3
"53",1963,0,816,816,816,5,110000,516,2010,5,"05//2010",1632,1,3,1,2,2
"54",1987,0,1842,1842,1842,5,385000,894,2006,11,"11//2006",3684,3,6,3,5,2
"55",1955,0,1360,1360,384,6,130000,572,2007,2,"02//2007",1744,1,4,2,1,3
"56",1964,0,1425,1425,1425,7,180500,576,2008,7,"07//2008",2850,2,4,2,2,4
"57",2000,756,983,1739,970,7,172500,480,2009,8,"08//2009",2709,2,3,3,7,4
"58",2004,860,860,1720,860,7,196500,565,2006,8,"08//2006",2580,2,4,3,8,4
"59",2006,1519,1426,2945,1410,10,438780,641,2006,10,"10//2006",4355,3,4,4,8,6
"60",1972,0,780,780,780,4,124900,352,2008,1,"01//2008",1560,1,2,1,3,2
"61",2004,0,1158,1158,1158,5,158000,576,2006,5,"05//2006",2316,2,4,2,8,2
"62",1996,530,581,1111,530,6,101000,288,2007,3,"03//2007",1641,1,2,2,7,3
"63",2006,0,1370,1370,1370,6,202500,484,2007,10,"10//2007",2740,2,3,2,8,3
"64",1950,808,902,1710,576,9,140000,480,2010,4,"04//2010",2286,2,3,3,1,5
"65",1998,977,1057,2034,1057,8,219500,645,2009,2,"02//2009",3091,2,4,3,7,4
"66",2005,1330,1143,2473,1143,9,317000,852,2007,10,"10//2007",3616,3,5,4,8,5
"67",1989,0,2207,2207,1947,7,180000,576,2010,7,"07//2010",4154,3,4,3,6,4
"68",2003,0,1479,1479,1453,7,226000,558,2007,6,"06//2007",2932,2,4,2,8,4
"69",1950,0,747,747,747,4,80000,220,2010,6,"06//2010",1494,1,2,1,1,2
"70",1953,983,1304,2287,1304,7,225000,667,2006,7,"07//2006",3591,3,4,3,1,4
"71",1973,0,2223,2223,2223,8,244000,516,2007,2,"02//2007",4446,3,3,3,4,4
"72",2006,0,845,845,845,4,129500,360,2007,6,"06//2007",1690,1,3,1,8,2
"73",1998,833,885,1718,832,7,185000,427,2009,12,"12//2009",2550,2,3,3,7,4
"74",2003,0,1086,1086,1086,6,144900,490,2010,5,"05//2010",2172,2,3,2,8,3
"75",1950,765,840,1605,840,8,107400,379,2010,5,"05//2010",2445,2,3,2,1,4
"76",1973,462,526,988,462,5,91000,297,2009,11,"11//2009",1450,1,2,1,4,2
"77",1956,0,952,952,952,4,135750,283,2008,4,"04//2008",1904,2,2,1,1,2
"78",2001,213,1072,1285,672,6,127000,240,2008,1,"01//2008",1957,2,2,2,7,3
"79",1968,0,1768,1768,1768,8,136500,0,2010,4,"04//2010",3536,3,1,3,3,4
"80",1981,548,682,1230,440,5,110000,440,2009,5,"05//2009",1670,1,3,2,5,2
"81",1968,960,1182,2142,896,8,193500,509,2009,6,"06//2009",3038,2,3,3,3,4
"82",1998,0,1337,1337,1237,5,153500,405,2006,3,"03//2006",2574,2,3,2,7,2
"83",2007,0,1563,1563,1563,6,245000,758,2008,10,"10//2008",3126,2,5,2,8,3
"84",1960,0,1065,1065,1065,6,126500,461,2007,7,"07//2007",2130,2,3,2,2,3
"85",1996,670,804,1474,384,7,168500,400,2009,5,"05//2009",1858,2,3,2,7,4
"86",1992,1116,1301,2417,1288,9,260000,462,2006,4,"04//2006",3705,3,3,4,6,5
"87",2005,876,684,1560,684,6,174000,400,2009,3,"03//2009",2244,2,3,2,8,3
"88",2009,612,612,1224,612,4,164500,528,2009,6,"06//2009",1836,2,3,2,8,2
"89",1982,0,1013,1526,1013,6,85000,0,2009,10,"10//2009",2026,2,1,2,5,3
"90",1995,0,990,990,990,5,123600,0,2007,8,"08//2007",1980,2,1,1,6,2
"91",1950,0,1040,1040,0,4,109900,420,2006,7,"07//2006",1040,1,3,2,1,2
"92",1961,0,1235,1235,1235,6,98600,480,2006,12,"12//2006",2470,2,3,2,2,3
"93",2006,0,964,964,876,5,163500,432,2009,8,"08//2009",1840,2,3,1,8,2
"94",1998,1031,1260,2291,1214,9,133900,506,2007,11,"11//2007",3505,3,3,3,7,5
"95",1997,881,905,1786,824,7,204750,684,2007,5,"05//2007",2610,2,4,3,7,4
"96",1993,790,680,1470,680,6,185000,420,2009,4,"04//2009",2150,2,3,2,6,3
"97",1999,0,1588,1588,1588,6,214000,472,2006,8,"08//2006",3176,2,3,2,7,3
"98",1965,0,960,960,960,6,94750,432,2007,5,"05//2007",1920,2,3,1,2,3
"99",1950,0,835,835,458,5,83000,366,2010,5,"05//2010",1293,1,3,1,1,2
"100",1959,0,1225,1225,950,6,128950,0,2010,1,"01//2010",2175,2,1,2,2,3
"101",2001,0,1610,1610,1610,6,205000,480,2010,2,"02//2010",3220,3,3,2,7,3
"102",1985,755,977,1732,741,7,178000,476,2010,6,"06//2010",2473,2,3,3,5,4
"103",1979,0,1535,1535,0,8,118964,410,2009,6,"06//2009",1535,1,3,2,4,4
"104",2009,0,1226,1226,1226,6,198900,740,2010,5,"05//2010",2452,2,5,2,8,3
"105",1950,592,1226,1818,1040,7,169500,240,2007,6,"06//2007",2858,2,2,3,1,4
"106",2004,939,1053,1992,1053,9,250000,648,2008,8,"08//2008",3045,2,4,3,8,5
"107",1995,0,1047,1047,641,6,100000,273,2007,8,"08//2007",1688,1,2,2,6,3
"108",1950,0,789,789,789,5,115000,250,2008,4,"04//2008",1578,1,2,1,1,2
"109",2005,520,997,1517,793,7,115000,0,2007,8,"08//2007",2310,2,1,2,8,4
"110",1977,0,1844,1844,1844,7,190000,546,2010,1,"01//2010",3688,3,4,3,4,4
"111",1972,639,1216,1855,994,7,136900,325,2006,10,"10//2006",2849,2,2,3,3,4
"112",2000,656,774,1430,384,7,180000,400,2010,4,"04//2010",1814,2,3,2,7,4
"113",2007,1414,1282,2696,1264,10,383970,792,2007,10,"10//2007",3960,3,5,4,8,6
"114",1953,0,2259,2259,1809,7,217000,450,2007,10,"10//2007",4068,3,3,3,1,4
"115",2002,884,1436,2320,1028,9,259500,180,2007,7,"07//2007",3348,3,2,3,7,5
"116",1999,729,729,1458,729,5,176000,440,2007,6,"06//2007",2187,2,3,2,7,2
"117",1962,0,1092,1092,1092,6,139000,288,2009,9,"09//2009",2184,2,2,2,2,3
"118",2007,0,1125,1125,1125,5,155000,430,2007,4,"04//2007",2250,2,3,2,8,2
"119",1990,1523,1699,3222,1673,11,320000,594,2010,5,"05//2010",4895,4,4,5,6,6
"120",2006,728,728,1456,728,8,163990,390,2006,7,"07//2006",2184,2,3,2,8,4
"121",1969,0,988,988,938,4,180000,540,2006,10,"10//2006",1926,2,4,1,3,2
"122",1950,351,772,1123,732,4,100000,264,2007,6,"06//2007",1855,2,2,2,1,2
"123",1958,0,1080,1080,1080,5,136000,288,2008,6,"06//2008",2160,2,2,2,2,2
"124",1993,0,1199,1199,1199,5,153900,530,2008,3,"03//2008",2398,2,3,2,6,2
"125",1998,0,1586,1586,1362,7,181000,435,2009,1,"01//2009",2948,2,3,2,7,4
"126",1982,0,520,754,520,5,84500,0,2006,6,"06//2006",1040,1,1,1,5,2
"127",1976,0,958,958,1078,5,128000,440,2007,2,"02//2007",2036,2,3,1,4,2
"128",1950,0,840,840,672,5,87000,0,2007,6,"06//2007",1512,1,1,1,1,2
"129",1966,688,660,1348,660,6,155000,453,2006,7,"07//2006",2008,2,3,2,3,3
"130",1991,0,1053,1053,1008,6,150000,750,2006,7,"07//2006",2061,2,5,2,6,3
"131",1966,941,1216,2157,924,8,226000,487,2006,5,"05//2006",3081,2,3,3,3,4
"132",2000,1032,1022,2054,992,7,244000,390,2009,7,"07//2009",3046,2,3,3,7,4
"133",2002,0,1327,1327,1063,7,150750,624,2007,7,"07//2007",2390,2,4,2,7,4
"134",2002,0,1296,1296,1267,6,220000,471,2009,6,"06//2009",2563,2,3,2,7,3
"135",1993,0,1721,1721,1461,7,180000,440,2006,7,"07//2006",3182,2,3,3,6,4
"136",1970,0,1682,1682,1304,7,174000,530,2008,5,"05//2008",2986,2,3,3,3,4
"137",1967,0,1214,1214,1214,5,143000,318,2007,7,"07//2007",2428,2,2,2,3,2
"138",1989,0,1959,1959,1907,9,171000,766,2006,7,"07//2006",3866,3,5,3,6,5
"139",2000,848,1004,1852,1004,7,230000,660,2008,12,"12//2008",2856,2,4,3,7,4
"140",1997,836,928,1764,928,7,231500,470,2009,8,"08//2009",2692,2,3,3,7,4
"141",1971,0,864,864,864,5,115000,0,2010,4,"04//2010",1728,1,1,1,3,2
"142",2005,0,1734,1734,1734,7,260000,660,2006,1,"01//2006",3468,3,4,3,8,4
"143",1952,475,910,1385,910,6,166000,720,2010,6,"06//2010",2295,2,5,2,1,3
"144",1999,0,1501,1501,1490,6,204000,577,2009,6,"06//2009",2991,2,4,2,7,3
"145",1963,0,1728,1728,1728,10,125000,504,2006,11,"11//2006",3456,3,3,3,2,6
"146",2006,739,970,1709,970,7,130000,380,2006,4,"04//2006",2679,2,3,3,8,4
"147",1993,0,875,875,715,5,105000,180,2009,11,"11//2009",1590,1,2,1,6,2
"148",2001,1151,884,2035,884,8,222500,434,2010,5,"05//2010",2919,2,3,3,7,4
"149",2005,0,1080,1080,1080,6,141000,0,2008,4,"04//2008",2160,2,1,2,8,3
"150",1950,448,896,1344,896,7,115000,240,2006,4,"04//2006",2240,2,2,2,1,4
"151",1975,0,969,969,969,5,122000,440,2007,1,"01//2007",1938,2,3,1,4,2
"152",2008,0,1710,1710,1710,6,372402,866,2008,1,"01//2008",3420,3,5,3,8,3
"153",1971,896,1097,1993,825,8,190000,495,2006,6,"06//2006",2818,2,3,3,3,4
"154",1975,0,1252,1252,1602,4,235000,564,2008,3,"03//2008",2854,2,4,2,4,2
"155",1950,0,1200,1200,1200,7,125000,312,2006,3,"03//2006",2400,2,2,2,1,4
"156",1950,524,572,1096,572,5,79000,0,2008,4,"04//2008",1668,1,1,2,1,2
"157",1950,0,1040,1040,0,5,109500,625,2006,6,"06//2006",1040,1,4,2,1,2
"158",2010,1194,774,1968,774,8,269500,680,2010,5,"05//2010",2742,2,4,3,8,4
"159",2005,956,991,1947,991,8,254900,678,2010,5,"05//2010",2938,2,4,3,8,4
"160",2006,1070,1392,2462,1392,9,320000,576,2006,3,"03//2006",3854,3,4,4,8,5
"161",1984,0,1232,1232,1232,6,162500,516,2008,6,"06//2008",2464,2,3,2,5,3
"162",2004,1096,1572,2668,1572,10,412500,726,2008,3,"03//2008",4240,3,5,4,8,6
"163",2005,0,1541,1541,1541,7,220000,532,2010,5,"05//2010",3082,2,4,2,8,4
"164",1956,0,882,882,882,4,103200,0,2007,4,"04//2007",1764,2,1,1,1,2
"165",2004,467,1149,1616,1149,5,152000,216,2007,10,"10//2007",2765,2,2,2,8,2
"166",1999,547,808,1355,644,6,127500,0,2008,9,"09//2008",1999,2,1,2,7,3
"167",1993,0,1867,1867,1617,7,190000,303,2009,11,"11//2009",3484,3,2,3,6,4
"168",2007,551,1610,2161,1582,8,325624,789,2007,11,"11//2007",3743,3,5,3,8,4
"169",2004,880,840,1720,840,7,183500,440,2007,5,"05//2007",2560,2,3,3,8,4
"170",1981,0,1707,1707,1686,6,228000,511,2006,1,"01//2006",3393,3,3,3,5,3
"171",1950,0,854,1382,720,7,128500,660,2007,5,"05//2007",1574,1,4,2,1,4
"172",1960,0,1656,1656,1080,7,215000,528,2010,5,"05//2010",2736,2,3,2,2,4
"173",1987,703,1064,1767,1064,5,239000,504,2006,6,"06//2006",2831,2,3,3,5,2
"174",1961,0,1362,1362,1362,6,163000,504,2008,6,"06//2008",2724,2,3,2,2,3
"175",1986,0,1651,1651,1606,7,184000,616,2008,11,"11//2008",3257,3,4,2,5,4
"176",2001,0,2158,2158,1202,7,243000,576,2007,6,"06//2007",3360,3,4,3,7,4
"177",1989,896,1164,2060,1151,8,211000,521,2007,9,"09//2007",3211,3,3,3,6,4
"178",1958,668,1252,1920,1052,8,172500,451,2006,7,"07//2006",2972,2,3,3,2,4
"179",2009,0,2234,2234,2216,9,501837,1166,2009,7,"07//2009",4450,3,7,3,8,5
"180",2006,0,968,968,968,5,100000,480,2007,7,"07//2007",1936,2,3,1,8,2
"181",2000,756,769,1525,756,5,177000,440,2007,6,"06//2007",2281,2,3,2,7,2
"182",1950,901,901,1802,793,9,200100,216,2006,7,"07//2006",2595,2,2,3,1,5
"183",2006,0,1340,1340,0,7,120000,252,2007,6,"06//2007",1340,1,2,2,8,4
"184",2003,720,1362,2082,1362,6,200000,484,2008,6,"06//2008",3444,3,3,3,8,3
"185",1991,316,936,1252,504,5,127000,576,2006,6,"06//2006",1756,1,4,2,6,2
"186",1993,1518,1518,3608,1107,12,475000,840,2006,6,"06//2006",4143,3,5,5,6,7
"187",1991,0,1217,1217,1188,6,173000,497,2009,6,"06//2009",2405,2,3,2,6,3
"188",1987,704,808,1656,660,8,135000,180,2009,8,"08//2009",2172,2,2,2,5,4
"189",1979,0,1224,1224,1086,6,153337,528,2009,6,"06//2009",2310,2,3,2,4,3
"190",2002,0,1593,1593,1593,5,286000,682,2008,8,"08//2008",3186,2,4,2,7,2
"191",1994,1178,1549,2727,853,10,315000,440,2007,12,"12//2007",3580,3,3,4,6,6
"192",2004,754,725,1479,725,7,184000,484,2007,6,"06//2007",2204,2,3,2,8,4
"193",1999,0,1431,1431,1431,6,192000,666,2009,9,"09//2009",2862,2,4,2,7,3
"194",2004,739,970,1709,970,7,130000,380,2006,5,"05//2006",2679,2,3,3,8,4
"195",1972,0,864,864,864,5,127000,352,2008,5,"05//2008",1728,1,2,1,3,2
"196",1976,601,855,1456,855,7,148500,440,2009,7,"07//2009",2311,2,3,2,4,4
"197",2007,0,1726,1726,1726,8,311872,786,2007,9,"09//2007",3452,3,5,3,8,4
"198",1990,1360,1360,3112,1360,8,235000,795,2006,3,"03//2006",4080,3,5,5,6,4
"199",1950,929,929,2229,755,8,104000,0,2009,7,"07//2009",2613,2,1,3,1,4
"200",2005,0,1713,1713,1713,7,274900,856,2009,1,"01//2009",3426,3,5,3,8,4
"201",2004,0,1121,1121,1121,5,140000,440,2010,3,"03//2010",2242,2,3,2,8,2
"202",1977,0,1279,1279,1196,6,171500,473,2008,2,"02//2008",2475,2,3,2,4,3
"203",1950,445,865,1310,617,6,112000,398,2006,5,"05//2006",1927,2,3,2,1,3
"204",2004,0,848,848,848,3,149000,420,2008,1,"01//2008",1696,1,3,1,8,1
"205",1950,564,720,1284,720,5,110000,240,2009,4,"04//2009",2004,2,2,2,1,2
"206",1990,0,1442,1442,1424,5,180500,500,2009,5,"05//2009",2866,2,3,2,6,2
"207",1962,0,1696,1696,1140,8,143900,349,2007,3,"03//2007",2836,2,2,3,2,4
"208",1960,0,1100,1100,1100,6,141000,312,2008,4,"04//2008",2200,2,2,2,2,3
"209",1989,882,1180,2062,1157,7,277000,454,2007,4,"04//2007",3219,3,3,3,6,4
"210",1964,0,1092,1092,1092,6,145000,504,2008,7,"07//2008",2184,2,3,2,2,3
"211",1950,0,864,864,864,5,98000,0,2008,4,"04//2008",1728,1,1,1,1,2
"212",2009,0,1212,1212,1212,6,186000,460,2010,3,"03//2010",2424,2,3,2,8,3
"213",2009,920,932,1852,900,7,252678,644,2009,7,"07//2009",2752,2,4,3,8,4
"214",1995,0,990,990,990,5,156000,576,2006,7,"07//2006",1980,2,4,1,6,2
"215",1977,703,689,1392,689,6,161750,299,2010,3,"03//2010",2081,2,2,2,4,3
"216",1996,0,1236,1236,1070,6,134450,447,2006,5,"05//2006",2306,2,3,2,7,3
"217",2004,0,1436,1436,1436,8,210000,484,2008,4,"04//2008",2872,2,3,2,8,4
"218",1950,518,810,1328,686,8,107000,210,2006,9,"09//2006",2014,2,2,2,1,4
"219",2006,817,1137,1954,798,8,311500,431,2008,5,"05//2008",2752,2,3,3,8,4
"220",2006,0,1248,1248,1248,5,167240,438,2006,3,"03//2006",2496,2,3,2,8,2
"221",2006,0,1498,1498,1498,5,204900,675,2006,4,"04//2006",2996,2,4,2,8,2
"222",2002,1257,1010,2267,1010,8,200000,390,2009,12,"12//2009",3277,3,3,3,7,4
"223",1975,741,811,1552,713,6,179900,434,2006,2,"02//2006",2265,2,3,2,4,3
"224",1971,0,864,864,864,4,97000,576,2009,3,"03//2009",1728,1,4,1,3,2
"225",2003,0,2392,2392,2392,8,386250,968,2009,6,"06//2009",4784,4,6,4,8,4
"226",1971,672,630,1302,630,6,112000,280,2009,5,"05//2009",1932,2,2,2,3,3
"227",1995,1306,1214,2520,1203,9,290000,721,2007,6,"06//2007",3723,3,5,4,6,5
"228",1970,504,483,987,483,5,106000,280,2008,9,"09//2008",1470,1,2,1,3,2
"229",1967,0,912,912,912,5,125000,336,2010,5,"05//2010",1824,2,2,1,3,2
"230",2006,0,1555,1555,1373,7,192500,430,2009,5,"05//2009",2928,2,3,2,8,4
"231",1959,0,1194,1194,1194,6,148000,312,2010,4,"04//2010",2388,2,2,2,2,3
"232",1996,1304,1490,2794,1462,9,403000,810,2009,7,"07//2009",4256,3,5,4,7,5
"233",1972,504,483,987,483,5,94500,288,2006,6,"06//2006",1470,1,2,1,3,2
"234",1976,0,894,894,894,5,128200,308,2010,2,"02//2010",1788,2,2,1,4,2
"235",2002,1100,860,1960,860,8,216500,440,2010,5,"05//2010",2820,2,3,3,7,4
"236",1971,504,483,987,483,5,89500,264,2008,8,"08//2008",1470,1,2,1,3,2
"237",2004,0,1414,1414,1414,6,185500,494,2010,5,"05//2010",2828,2,3,2,8,3
"238",2003,730,1014,1744,996,7,194500,457,2010,2,"02//2010",2740,2,3,3,8,4
"239",2007,0,1694,1694,1694,7,318000,818,2007,12,"12//2007",3388,3,5,3,8,4
"240",1950,689,798,1487,735,7,113000,220,2010,4,"04//2010",2222,2,2,2,1,4
"241",2008,0,1566,1566,1566,7,262500,750,2010,4,"04//2010",3132,2,5,2,8,4
"242",1997,0,866,866,686,4,110500,0,2007,8,"08//2007",1552,1,1,1,7,2
"243",1950,551,889,1440,540,6,79000,352,2006,4,"04//2006",1980,2,2,2,1,3
"244",1980,591,626,1217,626,6,120000,288,2009,4,"04//2009",1843,2,2,2,4,3
"245",2002,888,1222,2110,948,8,205000,463,2010,5,"05//2010",3058,2,3,3,7,4
"246",1988,0,1872,1872,1845,6,241500,604,2006,6,"06//2006",3717,3,4,3,6,3
"247",1950,1020,908,1928,1020,9,137000,440,2006,4,"04//2006",2948,2,3,3,1,5
"248",1954,0,1375,1375,1367,5,140000,451,2006,6,"06//2006",2742,2,3,2,1,2
"249",2003,828,840,1668,840,8,180000,500,2007,9,"09//2007",2508,2,3,3,8,4
"250",2006,700,1444,2144,1444,7,277000,389,2007,6,"06//2007",3588,3,3,3,8,4
"251",1966,0,1306,1306,728,6,76500,0,2010,5,"05//2010",2034,2,1,2,3,3
"252",2007,0,1625,1625,1573,5,235000,538,2007,12,"12//2007",3198,3,4,2,8,2
"253",2004,842,798,1640,798,6,173000,520,2008,12,"12//2008",2438,2,3,2,8,3
"254",1991,0,1302,1302,1302,7,158000,309,2007,10,"10//2007",2604,2,2,2,6,4
"255",1957,0,1314,1314,1314,5,145000,294,2010,6,"06//2010",2628,2,2,2,1,2
"256",1999,1286,1005,2291,975,8,230000,429,2006,2,"02//2006",3266,3,3,3,7,4
"257",2003,864,864,1728,864,7,207500,673,2008,5,"05//2008",2592,2,4,3,8,4
"258",2006,0,1604,1604,1604,8,220000,660,2009,3,"03//2009",3208,3,4,2,8,4
"259",2001,829,963,1792,963,7,231500,564,2008,5,"05//2008",2755,2,4,3,7,4
"260",1956,0,882,882,0,4,97000,308,2008,12,"12//2008",882,1,2,1,1,2
"261",1962,0,1382,1382,1362,6,176000,884,2009,5,"05//2009",2744,2,5,2,2,3
"262",2007,1092,1482,2574,1482,10,276000,868,2007,11,"11//2007",4056,3,5,4,8,6
"263",1995,0,1212,1212,506,6,151000,492,2006,7,"07//2006",1718,1,3,2,6,3
"264",2001,0,926,1316,926,6,130000,484,2010,4,"04//2010",1852,2,3,2,7,3
"265",2004,0,764,764,680,4,73000,504,2008,6,"06//2008",1444,1,3,1,8,2
"266",1981,0,1422,1422,1422,7,175500,576,2008,6,"06//2008",2844,2,4,2,5,4
"267",1997,709,802,1511,802,8,185000,413,2006,6,"06//2006",2313,2,3,2,7,4
"268",1997,720,1052,2192,720,8,179500,240,2008,7,"07//2008",2492,2,2,3,7,4
"269",1955,0,778,778,740,4,120500,924,2008,2,"02//2008",1518,1,6,1,1,2
"270",1976,0,1113,1113,1143,6,148000,504,2007,5,"05//2007",2256,2,3,2,4,3
"271",2006,844,1095,1939,1095,8,266000,1053,2006,8,"08//2006",3034,2,6,3,8,4
"272",2005,0,1363,1363,1385,5,241500,439,2008,4,"04//2008",2748,2,3,2,8,2
"273",2007,1106,1164,2270,1152,9,290000,671,2010,4,"04//2010",3422,3,4,3,8,5
"274",1988,0,1632,1632,1240,6,139000,338,2009,4,"04//2009",2872,2,2,2,6,3
"275",1982,0,816,816,816,5,124500,264,2007,6,"06//2007",1632,1,2,1,5,2
"276",2007,596,952,1548,952,5,205000,672,2009,10,"10//2009",2500,2,4,2,8,2
"277",2003,0,1560,1560,1560,7,201000,573,2010,4,"04//2010",3120,2,4,2,8,4
"278",1951,0,864,864,864,4,141000,400,2010,6,"06//2010",1728,1,3,1,1,2
"279",2007,0,2121,2121,2121,8,415298,732,2007,5,"05//2007",4242,3,5,3,8,4
"280",1977,866,1156,2022,1160,8,192000,505,2008,3,"03//2008",3182,2,3,3,4,4
"281",1989,807,1175,1982,807,7,228500,575,2007,1,"01//2007",2789,2,4,3,6,4
"282",2006,0,1262,1262,1262,5,185000,572,2006,5,"05//2006",2524,2,4,2,8,2
"283",2008,0,1314,1314,1314,6,207500,626,2009,4,"04//2009",2628,2,4,2,8,3
"284",2009,0,1468,1468,1468,6,244600,898,2009,12,"12//2009",2936,2,6,2,8,3
"285",1992,0,1575,1575,1575,5,179200,529,2007,7,"07//2007",3150,2,3,2,6,2
"286",2007,625,625,1250,625,5,164700,528,2007,6,"06//2007",1875,2,3,2,8,2
"287",1981,649,1085,1734,912,7,159000,440,2006,6,"06//2006",2646,2,3,3,5,4
"288",1971,0,858,858,858,5,88000,0,2006,6,"06//2006",1716,1,1,1,3,2
"289",1967,0,900,900,882,5,122000,280,2010,2,"02//2010",1782,2,2,1,3,2
"290",2003,698,698,1396,698,7,153575,384,2007,7,"07//2007",2094,2,3,2,8,4
"291",2006,840,1079,1919,1079,8,233230,685,2006,7,"07//2006",2998,2,4,3,8,4
